n,f(n) = 100 n log(n),g(n) = n^2
926,912560.8123,857476
927,913690.6465,859329
928,914820.6363,861184
929,915950.7817,863041
930,917081.0823,864900
931,918211.538,866761
932,919342.1487,868624
933,920472.9142,870489
934,921603.8343,872356
935,922734.9089,874225
936,923866.1378,876096
937,924997.5208,877969
938,926129.0578,879844
939,927260.7485,881721
940,928392.593,883600
941,929524.5909,885481
942,930656.7421,887364
943,931789.0465,889249
944,932921.5039,891136
945,934054.1141,893025
946,935186.8769,894916
947,936319.7923,896809
948,937452.86,898704
949,938586.0799,900601
950,939719.4518,902500
951,940852.9756,904401
952,941986.6511,906304
953,943120.4781,908209
954,944254.4565,910116
955,945388.5861,912025
956,946522.8668,913936
957,947657.2985,915849
958,948791.8808,917764
959,949926.6138,919681
960,951061.4972,921600
961,952196.5309,923521
962,953331.7147,925444
963,954467.0484,927369
964,955602.532,929296
965,956738.1653,931225
966,957873.948,933156
967,959009.8801,935089
968,960145.9614,937024
969,961282.1917,938961
970,962418.5709,940900
971,963555.0988,942841
972,964691.7754,944784
973,965828.6003,946729
974,966965.5735,948676
975,968102.6948,950625
976,969239.9641,952576
977,970377.3813,954529
978,971514.9461,956484
979,972652.6584,958441
980,973790.518,960400
981,974928.5249,962361
982,976066.6788,964324
983,977204.9797,966289
984,978343.4273,968256
985,979482.0216,970225
986,980620.7623,972196
987,981759.6493,974169
988,982898.6825,976144
989,984037.8617,978121
990,985177.1868,980100
991,986316.6576,982081
992,987456.274,984064
993,988596.0358,986049
994,989735.9429,988036
995,990875.9952,990025
996,992016.1924,992016
997,993156.5345,994009
998,994297.0213,996004
999,995437.6527,998001
1000,996578.4285,1000000
1001,997719.3485,1002001
1002,998860.4127,1004004
1003,1000001.621,1006009
1004,1001142.973,1008016
1005,1002284.468,1010025
1006,1003426.108,1012036
1007,1004567.89,1014049
1008,1005709.816,1016064
1009,1006851.885,1018081
1010,1007994.097,1020100
1011,1009136.452,1022121
1012,1010278.95,1024144
1013,1011421.59,1026169
1014,1012564.372,1028196
1015,1013707.297,1030225
1016,1014850.364,1032256
1017,1015993.573,1034289
1018,1017136.924,1036324
1019,1018280.416,1038361
1020,1019424.051,1040400
1021,1020567.826,1042441
1022,1021711.743,1044484
1023,1022855.801,1046529
1024,1024000,1048576
1025,1025144.34,1050625
1026,1026288.821,1052676
1027,1027433.442,1054729
1028,1028578.204,1056784
1029,1029723.106,1058841
1030,1030868.148,1060900
1031,1032013.33,1062961
1032,1033158.653,1065024
1033,1034304.115,1067089
1034,1035449.717,1069156
1035,1036595.458,1071225
1036,1037741.339,1073296
1037,1038887.359,1075369
1038,1040033.518,1077444
1039,1041179.816,1079521
1040,1042326.253,1081600
1041,1043472.828,1083681
1042,1044619.542,1085764
1043,1045766.395,1087849
1044,1046913.386,1089936
1045,1048060.515,1092025
1046,1049207.782,1094116
1047,1050355.188,1096209
1048,1051502.731,1098304
1049,1052650.411,1100401
1050,1053798.229,1102500
1051,1054946.185,1104601
